---------- BOTNET FLOWS DETECTED ----------

66.154.80.105:7871 -> 217.157.139.53:12569 (UDP)
66.154.87.41:7871 -> 70.226.208.38:28458 (UDP)
75.34.134.33:13610 -> 66.154.80.111:7871 (UDP)
82.41.33.19:24654 -> 66.154.80.105:7871 (UDP)
66.154.87.57:7871 -> 190.136.239.7:53759 (UDP)
213.119.15.250:7168 -> 66.154.80.101:7871 (UDP)
66.154.87.61:7871 -> 190.77.28.187:19636 (UDP)
71.204.99.87:9956 -> 66.154.87.57:7871 (UDP)
68.6.61.215:16275 -> 66.154.83.138:7871 (UDP)
66.154.80.101:7871 -> 81.105.111.4:55298 (UDP)
64.92.226.44:5544 -> 66.154.83.107:7871 (UDP)
85.71.192.160:25724 -> 66.154.80.111:7871 (UDP)
151.50.160.239:3716 -> 66.154.87.39:7871 (UDP)
69.73.141.226:18856 -> 66.154.83.138:7871 (UDP)
83.197.126.95:33373 -> 66.154.83.113:7871 (UDP)
87.123.191.193:18804 -> 66.154.80.111:7871 (UDP)
62.143.213.219:8255 -> 66.154.83.138:7871 (UDP)
66.154.80.105:7871 -> 61.11.50.203:50979 (UDP)
72.185.199.28:19983 -> 66.154.80.101:7871 (UDP)
66.154.80.111:7871 -> 196.207.219.8:22295 (UDP)
66.154.83.113:7871 -> 189.146.58.166:27197 (UDP)
68.4.4.193:61141 -> 66.154.80.111:7871 (UDP)
66.154.80.111:7871 -> 59.95.19.251:61216 (UDP)
66.154.83.80:7871 -> 210.211.219.169:10038 (UDP)
66.154.83.80:7871 -> 122.144.112.112:13721 (UDP)
76.17.105.223:11275 -> 66.154.87.39:7871 (UDP)
89.171.46.147:17568 -> 66.154.83.138:7871 (UDP)
66.154.83.107:7871 -> 61.93.122.207:27373 (UDP)
66.154.80.111:7871 -> 59.178.100.92:50928 (UDP)
66.154.83.107:7871 -> 84.221.120.55:12861 (UDP)
66.154.87.39:7871 -> 79.204.49.87:8798 (UDP)
66.154.87.57:7871 -> 83.29.255.14:4417 (UDP)
66.154.83.80:7871 -> 4.153.5.221:11275 (UDP)
12.182.38.242:1321 -> 66.154.83.107:7871 (UDP)
200.62.112.195:62913 -> 66.154.80.111:7871 (UDP)
219.240.44.147:6000 -> 69.61.28.97:7212 (TCP)
66.154.87.39:7871 -> 89.62.16.31:20005 (UDP)
66.154.83.142:63028 -> 24.206.248.179:8 (TCP)
59.182.58.78:24122 -> 66.154.87.41:7871 (UDP)
70.54.237.245:2742 -> 66.154.83.107:7871 (UDP)
66.154.87.39:7871 -> 10.129.54.37:3308 (UDP)
62.121.88.161:16275 -> 66.154.80.101:7871 (UDP)
85.141.159.70:1610 -> 66.154.80.125:7871 (UDP)
221.171.162.42:30161 -> 66.154.80.105:7871 (UDP)
66.154.87.58:7871 -> 193.34.144.44:19300 (UDP)
200.121.161.194:20296 -> 66.154.80.111:7871 (UDP)
71.60.165.1:24804 -> 66.154.87.61:7871 (UDP)
66.154.80.111:7871 -> 122.21.38.221:34813 (UDP)
66.154.87.41:7871 -> 59.143.48.140:21617 (UDP)
66.154.80.111:7871 -> 71.163.32.11:63358 (UDP)
83.149.99.121:12715 -> 66.154.87.41:7871 (UDP)
87.217.245.33:3924 -> 66.154.83.138:7871 (UDP)
87.7.213.77:23996 -> 66.154.83.138:7871 (UDP)
66.154.87.39:7871 -> 69.38.85.153:62414 (UDP)
66.154.87.61:7871 -> 4.252.137.219:11526 (UDP)
66.177.7.174:44118 -> 66.154.87.57:7871 (UDP)
59.127.244.87:17281 -> 66.154.87.41:7871 (UDP)
66.154.80.101:7871 -> 221.138.85.13:9510 (UDP)
83.28.184.118:28458 -> 66.154.87.41:7871 (UDP)
66.154.87.57:7871 -> 190.40.115.88:16312 (UDP)
80.235.53.176:4664 -> 66.154.80.111:7871 (UDP)
59.96.97.91:16286 -> 66.154.80.111:7871 (UDP)
66.154.83.80:7871 -> 87.4.166.42:15155 (UDP)
81.71.5.34:21073 -> 66.154.87.58:7871 (UDP)
66.154.80.125:7871 -> 203.35.1.76:33253 (UDP)
83.52.16.159:26840 -> 66.154.87.39:7871 (UDP)
66.154.80.125:7871 -> 88.100.51.175:29929 (UDP)
87.240.15.32:12388 -> 66.154.87.41:7871 (UDP)
201.244.242.31:3665 -> 66.154.83.138:7871 (UDP)
63.145.229.6:44254 -> 66.154.87.57:7871 (UDP)
194.87.88.134:6708 -> 66.154.83.80:7871 (UDP)
66.154.87.57:7871 -> 74.234.216.254:50050 (UDP)
84.52.85.123:3664 -> 66.154.87.41:7871 (UDP)
62.214.242.27:14157 -> 66.154.80.111:7871 (UDP)
66.154.87.41:7871 -> 74.140.194.233:11275 (UDP)
66.154.83.113:7871 -> 189.157.101.96:23955 (UDP)
66.154.87.61:7871 -> 82.250.159.155:21920 (UDP)
66.154.87.39:7871 -> 24.39.183.178:32387 (UDP)
66.154.80.101:7871 -> 59.95.238.45:50161 (UDP)
221.161.49.175:11275 -> 66.154.80.111:7871 (UDP)
196.206.204.195:3081 -> 66.154.80.111:7871 (UDP)
74.32.64.167:22252 -> 66.154.80.125:7871 (UDP)
66.154.87.41:7871 -> 202.71.133.9:7168 (UDP)
125.163.80.46:2339 -> 66.154.80.105:7871 (UDP)
66.154.80.111:7871 -> 72.171.181.246:15061 (UDP)
65.41.36.156:13992 -> 66.154.83.138:7871 (UDP)
200.8.153.246:14262 -> 66.154.80.111:7871 (UDP)
84.100.78.172:55046 -> 66.154.87.39:7871 (UDP)
66.154.87.39:7871 -> 89.230.136.148:15098 (UDP)
66.154.87.39:7871 -> 64.180.75.95:19400 (UDP)
66.154.80.101:7871 -> 72.23.41.80:19940 (UDP)
76.86.93.150:16385 -> 66.154.80.101:7871 (UDP)
66.154.80.105:7871 -> 72.154.122.243:50534 (UDP)
66.154.80.111:7871 -> 69.4.150.221:61542 (UDP)
83.18.174.58:19321 -> 66.154.80.101:7871 (UDP)
68.13.151.252:28720 -> 66.154.80.101:7871 (UDP)
66.154.87.39:7871 -> 69.150.177.21:11825 (UDP)
66.154.80.105:7871 -> 222.127.116.59:50066 (UDP)
66.154.83.80:7871 -> 59.189.192.66:6295 (UDP)
72.39.47.47:13194 -> 66.154.87.61:7871 (UDP)
74.32.84.16:61753 -> 66.154.83.80:7871 (UDP)
66.154.80.105:7871 -> 195.174.227.174:19589 (UDP)
24.217.137.235:8 -> 66.154.83.142:63013 (TCP)
66.154.83.113:7871 -> 87.240.6.31:3527 (UDP)
85.127.157.233:15140 -> 66.154.87.39:7871 (UDP)
66.154.83.113:7871 -> 91.34.191.237:17473 (UDP)
66.154.83.138:7871 -> 74.193.182.106:22771 (UDP)
190.80.142.21:60327 -> 66.154.83.107:7871 (UDP)
88.248.163.202:26893 -> 66.154.83.80:7871 (UDP)
12.72.150.220:12130 -> 66.154.80.105:7871 (UDP)
66.154.83.107:7871 -> 85.25.134.234:2027 (UDP)
194.44.88.27:8889 -> 66.154.87.41:7871 (UDP)
24.74.28.80:14172 -> 66.154.80.111:7871 (UDP)
66.154.83.138:7871 -> 190.6.196.19:3390 (UDP)
202.189.248.74:50683 -> 66.154.80.111:7871 (UDP)
89.2.138.238:16275 -> 66.154.87.57:7871 (UDP)
66.154.87.61:7871 -> 203.237.100.44:17736 (UDP)
74.33.123.253:61686 -> 66.154.87.57:7871 (UDP)
66.154.83.80:7871 -> 72.150.88.10:50133 (UDP)
66.154.87.41:7871 -> 190.1.134.36:21583 (UDP)
66.154.87.61:7871 -> 76.160.251.207:11275 (UDP)
81.56.14.224:18232 -> 66.154.87.61:7871 (UDP)
66.154.87.41:7871 -> 83.167.116.104:62321 (UDP)
66.154.80.111:7871 -> 68.187.84.211:6705 (UDP)
200.106.10.246:21091 -> 66.154.80.111:7871 (UDP)
66.154.87.57:7871 -> 34.92.155.134:12345 (UDP)
122.164.187.63:23556 -> 66.154.83.138:7871 (UDP)
76.65.89.94:61423 -> 66.154.87.41:7871 (UDP)
88.10.51.124:13152 -> 66.154.83.107:7871 (UDP)
66.154.83.107:7871 -> 151.65.167.219:10616 (UDP)
89.215.179.57:26099 -> 66.154.87.39:7871 (UDP)
213.245.71.215:19756 -> 66.154.87.39:7871 (UDP)
66.154.80.105:7871 -> 209.90.176.166:3664 (UDP)
66.154.83.80:7871 -> 201.223.23.185:60433 (UDP)
66.154.87.57:7871 -> 98.198.120.61:4050 (UDP)
66.154.83.107:7871 -> 219.65.248.157:17890 (UDP)
75.21.123.96:14219 -> 66.154.80.111:7871 (UDP)
66.154.87.58:7871 -> 207.5.153.21:6349 (UDP)
66.154.80.105:7871 -> 75.47.80.183:2416 (UDP)
24.206.248.179:8 -> 66.154.83.158:63447 (TCP)
166.161.169.72:25829 -> 66.154.87.58:7871 (UDP)
66.154.87.61:7871 -> 124.81.112.129:13284 (UDP)
83.18.12.218:16516 -> 66.154.87.41:7871 (UDP)
66.154.87.41:7871 -> 213.101.187.12:10667 (UDP)
66.154.87.57:7871 -> 82.137.205.85:1527 (UDP)
66.154.83.80:7871 -> 151.77.212.94:14549 (UDP)
66.154.83.152:63172 -> 24.217.137.235:8 (TCP)
89.5.71.189:31332 -> 66.154.80.111:7871 (UDP)
66.154.83.107:7871 -> 88.106.4.218:13719 (UDP)
190.74.151.46:24701 -> 66.154.87.61:7871 (UDP)
72.224.165.157:29236 -> 66.154.83.107:7871 (UDP)
201.240.163.12:14062 -> 66.154.80.111:7871 (UDP)
66.154.87.57:7871 -> 190.84.139.65:16968 (UDP)
66.154.87.41:7871 -> 86.217.193.79:12365 (UDP)
66.154.80.125:7871 -> 124.104.134.46:61421 (UDP)
68.209.117.94:10065 -> 192.168.1.2:4509 (TCP)
200.67.133.203:27725 -> 66.154.83.113:7871 (UDP)
90.188.233.138:7631 -> 66.154.83.80:7871 (UDP)
66.154.83.107:7871 -> 81.216.47.158:57508 (UDP)
88.249.29.128:50530 -> 66.154.83.80:7871 (UDP)
58.64.49.41:9926 -> 66.154.87.61:7871 (UDP)
125.229.43.82:12021 -> 66.154.87.41:7871 (UDP)
